feature,importance
engagement_score,0.11544729561773465
avg_duration,0.10194926198854332
total_duration,0.09125643646870095
primary_location,0.08985327423691916
max_duration,0.0832188147639864
interaction_span_days,0.07167229849985442
avg_interest,0.06925625742935204
primary_channel,0.05920886190185677
primary_lead_quality,0.048786251936095454
max_interest,0.04356762933615724
response_rate,0.04302716113063071
total_communications,0.04198607111934211
total_responses,0.03387830324637268
total_interactions,0.01931251706887211
data_tracking_consent,0.01832393480770953
sms_consent,0.017560269697380497
interaction_variety,0.015586403842711687
still_consented,0.014034990094794381
email_consent,0.01214776383827099
gave_consent,0.009926202974715121
